sme_id,registration_date,country,region,urban_rural,sector,owner_age,owner_sex,owner_education,business_name,years_in_business,n_employees,annual_revenue_usd,annual_revenue_reported,currency_reported,business_expenses_usd,personal_income_usd,keeps_financial_records,registered_with_tax,has_physical_premises,phone_number,data_source,record_quality
SME_00001,2020-02-19,Uganda,Kampala,rural,agriculture,18.0,Female,secondary,Hope Tech SARL,7.1,2,530.97,530.97,USD,134.14,2858.9,No,No,Yes,+256491544460,business_registry,partial
SME_00002,2013-03-10,Tanzania,Mbeya,urban,services,36.0,Male,tertiary,Neema Traders & Partners,6.7,3,17096.91,42742300.0,TZS,28777.72599668665,1919.64,No,Don't know,Yes,+255356809417,business_registry,complete
SME_00003,2017-07-03,Rwanda,Musanze,peri-urban,services,18.0,Female,secondary,Agaseke Hardware Group,11.1,5,27844.4,33413300.0,RWF,28036.82,427.16,Yes,No,Yes,+250529212933,business_registry,complete
SME_00004,2022-04-28,Uganda,Kampala,urban,agriculture,69.0,Female,secondary,Nile Transport S.A.,3.1,1,2984.76,2984.76,USD,149.24,1677.53,No,No,Yes,+256792147454,business_registry,complete
SME_00005,2005-11-13,Kenya,Kisumu,rural,agriculture,45.0,Female,tertiary,Mama Construction Ltd,12.1,2,1917.21,249200.0,KES,896.74,70.42,Yes,No,No,+254740015335,business_registry,complete
SME_00006,2006-12-22,Senegal,Kaolack,urban,retail,43.0,Male,secondary,Wolof Textiles Ltd,1.7,8,598.19,358900.0,XOF,108.62,9555.87,Partially,No,Yes,+221800838254,business_registry,partial
SME_00007,2021-07-21,Uganda,Jinja,rural,services,45.0,Male,primary,Victory General Store & Associates,3.0,8,1432.07,1432.07,USD,1457.2,593.69,No,No,Yes,+256029320910,business_registry,partial
SME_00008,2015-03-21,Uganda,Mbarara,peri-urban,services,50.0,Male,tertiary,Pearl Transport Limited,4.9,3,,,USD,,,Yes,No,Yes,+256206835520,business_registry,minimal
SME_00009,2016-02-12,Kenya,Nairobi,urban,services,55.0,Male,secondary,Harambee Textiles Ltd,5.8,1,8775.57,8775.57,USD,8868.71,221.98,Partially,No,Yes,+254771507904,business_registry,partial
SME_00010,2011-02-21,Tanzania,Dar es Salaam,rural,retail,21.0,Male,primary,Neema Traders Co.,6.8,4,1167.97,1167.97,USD,2222.349499862893,50.75,Partially,No,Yes,+255657232709,business_registry,complete
SME_00011,2019-11-16,Nigeria,Benin City,peri-urban,agriculture,59.0,Male,tertiary,Obinna Electronics & Sons,5.7,7,429.4,429.4,USD,602.9,1098.69,No,No,No,+234720310479,business_registry,complete
SME_00012,2016-08-17,Morocco,Casablanca,peri-urban,food_processing,58.0,Female,tertiary,Alaoui Electronics Co.,4.6,4,815.04,815.04,USD,70.44,178.99,Partially,No,Yes,+212731886715,business_registry,complete
SME_00013,2009-08-21,Ghana,Cape Coast,rural,agriculture,41.0,Female,secondary,Adinkra Hardware & Partners,10.8,12,5278.25,5278.25,USD,263.91,210.6,No,No,Yes,+233192414046,business_registry,complete
SME_00014,2016-09-02,Rwanda,Huye,urban,services,40.0,Male,secondary,Kigali Services SARL,1.2,3,,,USD,,,No,Yes,Yes,+250572371200,business_registry,minimal
SME_00015,2005-01-26,Tanzania,Morogoro,peri-urban,agriculture,18.0,Male,secondary,Serengeti Tech Ltd,10.9,1,,,USD,,1900.72,Partially,No,Yes,+255668838908,business_registry,minimal
SME_00016,2009-04-30,Nigeria,Kano,rural,retail,25.0,Male,secondary,Lagos Agro Co.,1.9,2,50.0,75000.0,NGN,47.27,927.36,Yes,No,Yes,+234803218851,business_registry,complete
SME_00017,2008-09-01,Tanzania,Zanzibar,urban,retail,49.0,Male,secondary,Uhuru Textiles SARL,1.5,3,1286.55,3216400.0,TZS,1172.47,2645.72,Yes,No,Yes,+255045035200,business_registry,complete
SME_00018,2019-02-19,Kenya,Mombasa,rural,retail,58.0,Male,secondary,Safari Transport & Associates,11.5,2,2910.37,2910.37,USD,2473.44,401.13,No,No,Yes,+254027387673,business_registry,complete
SME_00019,2018-03-23,Rwanda,Huye,rural,food_processing,51.0,Female,tertiary,Isange Traders SARL,3.2,2,612.34,612.34,USD,244.15,4176.3,No,No,Yes,+250694503981,business_registry,partial
SME_00020,2006-08-23,Ghana,Kumasi,peri-urban,retail,41.0,Male,secondary,Adjoa Agro SARL,6.4,8,354.51,354.51,USD,224.64,1863.78,No,No,Yes,+233689287766,business_registry,complete
SME_00021,2021-04-22,Uganda,Jinja,rural,textile,67.0,Female,tertiary,Nile Hardware S.A.,2.2,2,195.28,195.28,USD,,,Partially,No,No,+256987824443,business_registry,complete
SME_00022,2019-09-20,Nigeria,Port Harcourt,peri-urban,transport,55.0,Female,none,Victory Solutions Group,14.6,1,752.17,752.17,USD,484.84,1406.55,No,No,No,+234622293681,business_registry,complete
SME_00023,2012-10-27,Senegal,Touba,rural,construction,36.0,Female,tertiary,Ibrahima Construction Co.,2.1,7,199.22,119500.0,XOF,57.14,563.37,Partially,No,No,+221087368216,business_registry,partial
